well_head_depth_pressure =  175.96349999999998
The string 'wbhp' is found as control!
# 61 	T = 116.465	DT = 10	NI = 3	LI=18	DT_MULT=1.3	dX=[0.08  0.015 0.845]
Walltime = 18.987265825271606 Simulated time = 116.4649834295048
# 62 	T = 126.465	DT = 10	NI = 3	LI=18	DT_MULT=1.3	dX=[0.126 0.015 0.854]
Walltime = 19.95090651512146 Simulated time = 126.4649834295048
# 63 	T = 136.465	DT = 10	NI = 3	LI=15	DT_MULT=1.3	dX=[0.165 0.014 0.86 ]
Walltime = 20.89177441596985 Simulated time = 136.4649834295048
# 64 	T = 146.465	DT = 10	NI = 3	LI=16	DT_MULT=1.3	dX=[0.119 0.014 0.863]
Walltime = 21.991558074951172 Simulated time = 146.4649834295048
# 65 	T = 156.465	DT = 10	NI = 3	LI=17	DT_MULT=1.3	dX=[0.081 0.013 0.863]
Walltime = 23.018038988113403 Simulated time = 156.4649834295048
# 66 	T = 166.465	DT = 10	NI = 3	LI=17	DT_MULT=1.3	dX=[0.185 0.013 0.857]
Walltime = 24.07908606529236 Simulated time = 166.4649834295048
# 67 	T = 176.465	DT = 10	NI = 3	LI=20	DT_MULT=1.3	dX=[0.268 0.013 0.841]
Walltime = 25.13086462020874 Simulated time = 176.4649834295048
# 68 	T = 186.465	DT = 10	NI = 3	LI=20	DT_MULT=1.3	dX=[0.314 0.013 0.814]
Walltime = 26.20548987388611 Simulated time = 186.4649834295048
# 69 	T = 196.465	DT = 10	NI = 3	LI=17	DT_MULT=1.3	dX=[0.247 0.012 0.789]
Walltime = 27.239771604537964 Simulated time = 196.4649834295048
# 70 	T = 206.465	DT = 10	NI = 3	LI=18	DT_MULT=1.3	dX=[0.214 0.012 0.765]
Walltime = 28.29544234275818 Simulated time = 206.4649834295048
# 71 	T = 216.465	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.114 0.012 0.745]
Walltime = 29.30134654045105 Simulated time = 216.4649834295048
# 72 	T = 226.465	DT = 10	NI = 3	LI=15	DT_MULT=1.3	dX=[0.152 0.011 0.726]
Walltime = 30.371894121170044 Simulated time = 226.4649834295048
# 73 	T = 236.465	DT = 10	NI = 3	LI=17	DT_MULT=1.3	dX=[0.138 0.011 0.709]
Walltime = 31.417466402053833 Simulated time = 236.4649834295048
# 74 	T = 246.465	DT = 10	NI = 3	LI=15	DT_MULT=1.3	dX=[0.12  0.011 0.693]
Walltime = 32.48089528083801 Simulated time = 246.4649834295048
# 75 	T = 256.465	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.096 0.011 0.676]
Walltime = 33.49799180030823 Simulated time = 256.4649834295048
# 76 	T = 266.465	DT = 10	NI = 3	LI=16	DT_MULT=1.3	dX=[0.031 0.011 0.662]
Walltime = 34.56827187538147 Simulated time = 266.4649834295048
# 77 	T = 276.465	DT = 10	NI = 3	LI=16	DT_MULT=1.3	dX=[0.076 0.011 0.649]
Walltime = 35.665013551712036 Simulated time = 276.4649834295048
# 78 	T = 286.465	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.038 0.011 0.637]
Walltime = 36.68213200569153 Simulated time = 286.4649834295048
# 79 	T = 296.465	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.042 0.011 0.626]
Walltime = 37.69440245628357 Simulated time = 296.4649834295048
# 80 	T = 306.465	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.041 0.011 0.616]
Walltime = 38.74700665473938 Simulated time = 306.4649834295048
# 81 	T = 316.465	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.037 0.011 0.605]
Walltime = 39.78899526596069 Simulated time = 316.4649834295048
# 82 	T = 326.465	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.113 0.011 0.594]
Walltime = 40.82183003425598 Simulated time = 326.4649834295048
# 83 	T = 336.465	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.14  0.011 0.583]
Walltime = 41.849156618118286 Simulated time = 336.4649834295048
# 84 	T = 346.465	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.125 0.011 0.571]
Walltime = 42.8874671459198 Simulated time = 346.4649834295048
# 85 	T = 356.465	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.125 0.011 0.56 ]
Walltime = 43.93327307701111 Simulated time = 356.4649834295048
# 86 	T = 365	DT = 8.53502	NI = 2	LI=12	DT_MULT=1.3	dX=[0.076 0.009 0.469]
TS = 86(0), NI = 195(0), LI = 934(0)
well_head_depth_pressure =  175.96349999999998
The string 'wbhp' is found as control!
Walltime = 0.0 Simulated time = 365.0
# 1 	T = 375	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.122 0.011 0.537]
Walltime = 1.0594756603240967 Simulated time = 375.0
# 2 	T = 385	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.122 0.011 0.524]
Walltime = 2.122586488723755 Simulated time = 385.0
# 3 	T = 395	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.138 0.011 0.51 ]
Walltime = 3.1678991317749023 Simulated time = 395.0
# 4 	T = 405	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.128 0.011 0.496]
Walltime = 4.19812798500061 Simulated time = 405.0
# 5 	T = 415	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.091 0.011 0.482]
Walltime = 5.2122602462768555 Simulated time = 415.0
# 6 	T = 425	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.112 0.011 0.469]
Walltime = 6.269761085510254 Simulated time = 425.0
# 7 	T = 435	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.138 0.012 0.457]
Walltime = 7.2418084144592285 Simulated time = 435.0
# 8 	T = 445	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.072 0.012 0.445]
Walltime = 8.404391527175903 Simulated time = 445.0
# 9 	T = 455	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.13  0.012 0.434]
Walltime = 10.097829103469849 Simulated time = 455.0
# 10 	T = 465	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.086 0.012 0.423]
Walltime = 11.266283988952637 Simulated time = 465.0
# 11 	T = 475	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.105 0.012 0.412]
Walltime = 12.356246948242188 Simulated time = 475.0
# 12 	T = 485	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.103 0.012 0.402]
Walltime = 13.4552321434021 Simulated time = 485.0
# 13 	T = 495	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.088 0.012 0.393]
Walltime = 14.517117738723755 Simulated time = 495.0
# 14 	T = 505	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.043 0.012 0.384]
Walltime = 15.57522988319397 Simulated time = 505.0
# 15 	T = 515	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.07  0.012 0.375]
Walltime = 16.657933950424194 Simulated time = 515.0
# 16 	T = 525	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.065 0.012 0.367]
Walltime = 17.71289563179016 Simulated time = 525.0
# 17 	T = 535	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.082 0.012 0.359]
Walltime = 18.793715476989746 Simulated time = 535.0
# 18 	T = 545	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.101 0.012 0.352]
Walltime = 19.91657042503357 Simulated time = 545.0
# 19 	T = 555	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.1   0.012 0.344]
Walltime = 21.012757301330566 Simulated time = 555.0
# 20 	T = 565	DT = 10	NI = 2	LI=11	DT_MULT=1.3	dX=[0.045 0.012 0.337]
Walltime = 22.068922996520996 Simulated time = 565.0
# 21 	T = 575	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.096 0.012 0.331]
Walltime = 23.156946897506714 Simulated time = 575.0
# 22 	T = 585	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.094 0.013 0.324]
Walltime = 24.252167224884033 Simulated time = 585.0
# 23 	T = 595	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.067 0.013 0.317]
Walltime = 25.355782747268677 Simulated time = 595.0
# 24 	T = 605	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.095 0.013 0.311]
Walltime = 26.52356505393982 Simulated time = 605.0
# 25 	T = 615	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.084 0.013 0.305]
Walltime = 27.63796901702881 Simulated time = 615.0
# 26 	T = 625	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.101 0.013 0.298]
Walltime = 28.750336170196533 Simulated time = 625.0
# 27 	T = 635	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.062 0.013 0.292]
Walltime = 29.930721044540405 Simulated time = 635.0
# 28 	T = 645	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.076 0.013 0.286]
Walltime = 31.077046394348145 Simulated time = 645.0
# 29 	T = 655	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.109 0.013 0.28 ]
Walltime = 32.22559452056885 Simulated time = 655.0
# 30 	T = 665	DT = 10	NI = 2	LI=13	DT_MULT=1.3	dX=[0.102 0.013 0.273]
Walltime = 33.386324644088745 Simulated time = 665.0
# 31 	T = 675	DT = 10	NI = 1	LI=6	DT_MULT=1.3	dX=[0.095 0.013 0.267]
Walltime = 34.46066617965698 Simulated time = 675.0
